method,threshold_index,n_datasets,mean_coverage,mean_risk,q15_risk,q85_risk
QAFactEval,0.625,8,76.5571410418913,15.413871937894429,12.785979936252563,17.61262706642681
QAFactEval,0.6666666666666666,8,75.11785898572569,15.210402309712702,12.575539575557219,17.279119639107922
QAFactEval,0.7083333333333333,8,73.62711966230817,14.979757701614739,12.593558546176324,17.36006143421812
QAFactEval,0.75,8,72.00508143920653,14.685376539621364,11.977885198618239,17.008824547753562
QAFactEval,0.7916666666666666,8,70.38483892361803,14.401923319490248,11.80142819727633,16.594450784860822
QAFactEval,0.8333333333333333,8,68.92752700386713,14.193363608779602,11.368127079765971,16.39210940867118
QAFactEval,0.875,8,67.3576842618262,14.175830719338961,11.62127018670562,16.12865231258086
QAFactEval,0.9166666666666666,8,66.06057848107906,14.023063001050069,11.578299383922262,16.0533364952267
QAFactEval,0.9583333333333331,8,64.42767016979062,13.984903923037141,11.450029817277438,16.11887681797417
QAFactEval,1.0,8,62.785375350091556,13.80439934305377,11.285582315716528,16.014485221262955
CMVO,0.0,8,99.010297867305,18.183987717768453,15.509014857462049,20.593338670631834
CMVO,0.0416666666666666,8,97.49463704667004,17.70346806430162,15.195588246842583,19.613423428872544
CMVO,0.0833333333333333,8,95.92494182190882,17.40144693390103,14.973833382219304,19.760244115279704
CMVO,0.125,8,94.38076816854499,17.062603953696424,14.353554400638922,19.76691993138778
CMVO,0.1666666666666666,8,93.01044339446946,16.645287085378886,13.831012070651385,19.211232102676956
CMVO,0.2083333333333333,8,91.63296069975286,16.335211867588356,13.647965073973728,18.478945678301034
CMVO,0.25,8,90.13098463282506,16.19148607901042,13.593005069464672,18.43711869265247
CMVO,0.2916666666666666,8,88.62262600761417,15.663706581905906,13.236287584946403,17.982125359426345
CMVO,0.3333333333333333,8,86.93854840788119,15.461068433174779,12.76715009900079,17.554980041391996
CMVO,0.375,8,85.67760944481161,15.181928066737017,12.394995485055071,17.409056686619117
CMVO,0.4166666666666666,8,84.02214312832967,14.798600614848926,12.202035383269742,17.11677710608276
CMVO,0.4583333333333333,8,82.55202089370539,14.551426853250359,12.131275288539836,16.64293166558821
CMVO,0.5,8,80.99565308919983,14.123140149175757,11.590578567017314,16.119012152868375
CMVO,0.5416666666666666,8,79.6341335793798,13.943216446336734,11.325692649611765,16.09087211446438
CMVO,0.5833333333333333,8,77.9449156928114,13.65297320757276,11.012350218775108,16.04056088432162
CMVO,0.625,8,76.43120592313102,13.451609868962453,10.611974334472041,15.390581278326993
CMVO,0.6666666666666666,8,74.83924792659472,13.356257007683286,10.84548791164862,15.57799614924217
CMVO,0.7083333333333333,8,73.75825359924306,13.16341661886953,10.562820907059248,15.589588175650679
CMVO,0.75,8,72.08871229655603,12.857524177416927,10.509463883965074,14.984052624675954
CMVO,0.7916666666666666,8,70.58437193899712,12.618929751092358,10.114395615401618,15.082658680037762
CMVO,0.8333333333333333,8,69.0947359507029,12.589226018098403,10.002250192330978,14.599663543314735
CMVO,0.875,8,67.34124489725255,12.328294627943349,9.906089417628657,14.499557555963408
CMVO,0.9166666666666666,8,66.00155066468005,12.334038672188491,9.60292822467574,14.559143572380895
CMVO,0.9583333333333331,8,64.6079490436739,12.224393143576084,9.653258911175069,14.555241658687146
CMVO,1.0,8,62.73213594658044,12.166586994155747,9.609732825693532,14.16654254208508
SignalMatchedFusion,0.0,8,98.97523301814522,17.311436167059078,14.584282039574035,19.39033528117519
SignalMatchedFusion,0.0416666666666666,8,97.44050910877671,17.123982002003984,14.511609163422897,19.269226209376644
SignalMatchedFusion,0.0833333333333333,8,96.10555688298314,16.697096047165722,14.247391219362232,18.66800405692469
SignalMatchedFusion,0.125,8,94.48135261719949,16.2543083068938,13.68626126277508,18.5500502275995
SignalMatchedFusion,0.1666666666666666,8,93.13695912809757,16.01150939548635,13.162967079964815,18.349667631719054
SignalMatchedFusion,0.2083333333333333,8,91.43309143968284,15.724132940476867,13.144364369429276,17.826846916739935
SignalMatchedFusion,0.25,8,90.00398854465142,15.29276477734601,12.449128939544043,17.322079164587038
SignalMatchedFusion,0.2916666666666666,8,88.55645879730793,15.002710828058223,12.3422469326663,17.093912906513218
SignalMatchedFusion,0.3333333333333333,8,87.08580717818333,14.766297950713748,12.386252934352507,16.564232833475934
SignalMatchedFusion,0.375,8,85.53734944213446,14.278916071206641,11.788049381216224,16.457102211765378
SignalMatchedFusion,0.4166666666666666,8,84.08170200364268,14.196852476023787,11.671248194828658,16.52565668572374
