panel,stratum_type,stratum_label,n_cells,delta_pcg_minus_best_pp,pcg_risk_advantage_pp,observed_min_pp,observed_max_pp,favourable_cells,unfavourable_cells,tie_cells,smallest_advantage_cell_id,smallest_advantage_pp,best_applicable_method,sort_rank
C,CELL,03-05,1,-1.7454830989451915,1.7454830989451915,1.7454830989451915,1.7454830989451915,1,0,0,03-05,1.7454830989451915,SignalMatchedFusion,20
C,CELL,01-06,1,-1.7656925359645079,1.7656925359645079,1.7656925359645079,1.7656925359645079,1,0,0,01-06,1.7656925359645079,SignalMatchedFusion,21
C,CELL,01-07,1,-1.7899941386429037,1.7899941386429037,1.7899941386429037,1.7899941386429037,1,0,0,01-07,1.7899941386429037,SignalMatchedFusion,22
C,CELL,02-03,1,-1.8018151167689416,1.8018151167689416,1.8018151167689416,1.8018151167689416,1,0,0,02-03,1.8018151167689416,SignalMatchedFusion,23
C,CELL,07-08,1,-1.8152495417759713,1.8152495417759713,1.8152495417759713,1.8152495417759713,1,0,0,07-08,1.8152495417759713,SignalMatchedFusion,24
C,CELL,07-07,1,-1.8441777594838733,1.8441777594838733,1.8441777594838733,1.8441777594838733,1,0,0,07-07,1.8441777594838733,SignalMatchedFusion,25
C,CELL,02-01,1,-1.8750873361694695,1.8750873361694695,1.8750873361694695,1.8750873361694695,1,0,0,02-01,1.8750873361694695,SignalMatchedFusion,26
C,CELL,06-06,1,-1.9450422243954719,1.9450422243954719,1.9450422243954719,1.9450422243954719,1,0,0,06-06,1.9450422243954719,SignalMatchedFusion,27
C,CELL,03-03,1,-1.9595306174895375,1.9595306174895375,1.9595306174895375,1.9595306174895375,1,0,0,03-03,1.9595306174895375,SignalMatchedFusion,28
C,CELL,06-02,1,-1.970118242373049,1.970118242373049,1.970118242373049,1.970118242373049,1,0,0,06-02,1.970118242373049,SignalMatchedFusion,29
C,CELL,04-04,1,-1.9883109963276355,1.9883109963276355,1.9883109963276355,1.9883109963276355,1,0,0,04-04,1.9883109963276355,SignalMatchedFusion,30
C,CELL,04-02,1,-2.0163724202481941,2.0163724202481941,2.0163724202481941,2.0163724202481941,1,0,0,04-02,2.0163724202481941,SignalMatchedFusion,31
C,CELL,01-04,1,-2.084586413508597,2.084586413508597,2.084586413508597,2.084586413508597,1,0,0,01-04,2.084586413508597,SignalMatchedFusion,32
C,CELL,01-01,1,-2.1080577331181676,2.1080577331181676,2.1080577331181676,2.1080577331181676,1,0,0,01-01,2.1080577331181676,SignalMatchedFusion,33
C,CELL,01-03,1,-2.1400716072694062,2.1400716072694062,2.1400716072694062,2.1400716072694062,1,0,0,01-03,2.1400716072694062,SignalMatchedFusion,34
C,CELL,01-05,1,-2.1522353090960156,2.1522353090960156,2.1522353090960156,2.1522353090960156,1,0,0,01-05,2.1522353090960156,SignalMatchedFusion,35
C,CELL,06-04,1,-2.1884904426372547,2.1884904426372547,2.1884904426372547,2.1884904426372547,1,0,0,06-04,2.1884904426372547,SignalMatchedFusion,36
C,CELL,07-04,1,-2.262402341105954,2.262402341105954,2.262402341105954,2.262402341105954,1,0,0,07-04,2.262402341105954,SignalMatchedFusion,37
C,CELL,04-07,1,-2.271412699089872,2.271412699089872,2.271412699089872,2.271412699089872,1,0,0,04-07,2.271412699089872,SignalMatchedFusion,38
C,CELL,04-06,1,-2.3581426308490236,2.3581426308490236,2.3581426308490236,2.3581426308490236,1,0,0,04-06,2.3581426308490236,SignalMatchedFusion,39
C,CELL,03-08,1,-2.3911560344900504,2.3911560344900504,2.3911560344900504,2.3911560344900504,1,0,0,03-08,2.3911560344900504,SignalMatchedFusion,40
C,CELL,02-07,1,-2.4177737711462672,2.4177737711462672,2.4177737711462672,2.4177737711462672,1,0,0,02-07,2.4177737711462672,SignalMatchedFusion,41
C,CELL,02-06,1,-2.4806907511775869,2.4806907511775869,2.4806907511775869,2.4806907511775869,1,0,0,02-06,2.4806907511775869,SignalMatchedFusion,42
C,CELL,05-08,1,-2.5626958142284995,2.5626958142284995,2.5626958142284995,2.5626958142284995,1,0,0,05-08,2.5626958142284995,SignalMatchedFusion,43
C,CELL,05-02,1,-2.5876286059217364,2.5876286059217364,2.5876286059217364,2.5876286059217364,1,0,0,05-02,2.5876286059217364,SignalMatchedFusion,44
C,CELL,04-08,1,-2.6579435197549959,2.6579435197549959,2.6579435197549959,2.6579435197549959,1,0,0,04-08,2.6579435197549959,SignalMatchedFusion,45
C,CELL,02-08,1,-2.8401840435859036,2.8401840435859036,2.8401840435859036,2.8401840435859036,1,0,0,02-08,2.8401840435859036,SignalMatchedFusion,46
C,CELL,01-08,1,-2.9707805631897042,2.9707805631897042,2.9707805631897042,2.9707805631897042,1,0,0,01-08,2.9707805631897042,SignalMatchedFusion,47
C,CELL,07-06,1,-3.0158698185526571,3.0158698185526571,3.0158698185526571,3.0158698185526571,1,0,0,07-06,3.0158698185526571,SignalMatchedFusion,48
C,CELL,05-06,1,-3.0271969074445977,3.0271969074445977,3.0271969074445977,3.0271969074445977,1,0,0,05-06,3.0271969074445977,SignalMatchedFusion,49
C,CELL,05-07,1,-3.1035447678155723,3.1035447678155723,3.1035447678155723,3.1035447678155723,1,0,0,05-07,3.1035447678155723,SignalMatchedFusion,50
C,CELL,07-05,1,-3.1094671480273774,3.1094671480273774,3.1094671480273774,3.1094671480273774,1,0,0,07-05,3.1094671480273774,SignalMatchedFusion,51
C,CELL,03-06,1,-3.1731741817428283,3.1731741817428283,3.1731741817428283,3.1731741817428283,1,0,0,03-06,3.1731741817428283,SignalMatchedFusion,52
C,CELL,06-07,1,-3.230812286710949,3.230812286710949,3.230812286710949,3.230812286710949,1,0,0,06-07,3.230812286710949,SignalMatchedFusion,53
C,CELL,03-07,1,-3.289440679313298,3.289440679313298,3.289440679313298,3.289440679313298,1,0,0,03-07,3.289440679313298,SignalMatchedFusion,54
C,CELL,06-08,1,-3.6732315489304295,3.6732315489304295,3.6732315489304295,3.6732315489304295,1,0,0,06-08,3.6732315489304295,SignalMatchedFusion,55
